model,attack,density,comparison,metric,n_images,mean_a,mean_b,mean_difference,ci_95_low,ci_95_high,ci_excludes_zero,bootstrap_samples,bootstrap_seed
3k_gaussian_blur,diffusion,0.3,Random -> O300,ssim_final,300,0.7626674130558968,0.8993545361359914,0.13668712308009465,0.12992206012705962,0.14353934177011252,True,10000,42
3k_gaussian_blur,diffusion,0.3,O150 -> O300,ber,300,0.16455555555555557,0.16455555555555557,0.0,-0.004555555555555553,0.004333333333333335,False,10000,42
3k_gaussian_blur,diffusion,0.3,O150 -> O300,psnr_attack,300,33.83011819203695,32.628962224324546,-1.2011559677124024,-1.3889338788986207,-1.02820161151886,True,10000,42
3k_gaussian_blur,diffusion,0.3,O150 -> O300,ssim_attack,300,0.9054457614819209,0.8969013180335362,-0.008544443448384603,-0.010052172382672628,-0.007149888937671979,True,10000,42
3k_gaussian_blur,diffusion,0.3,O150 -> O300,psnr_final,300,31.917560799916586,31.080291341145834,-0.837269458770752,-0.9779564057985941,-0.7075914543469747,True,10000,42
3k_gaussian_blur,diffusion,0.3,O150 -> O300,ssim_final,300,0.9079258642594019,0.8993545361359914,-0.008571328123410544,-0.010073695778846741,-0.00719584729274114,True,10000,42
3k_gaussian_blur,mean,0.1,Random -> O150,ber,300,0.47600000000000003,0.46188888888888885,-0.01411111111111111,-0.022999999999999996,-0.005222222222222223,True,10000,42
3k_gaussian_blur,mean,0.1,Random -> O150,psnr_attack,300,14.622033150990804,14.328310198783875,-0.2937229522069295,-0.3715769268274307,-0.21909554104010262,True,10000,42
3k_gaussian_blur,mean,0.1,Random -> O150,ssim_attack,300,0.2741941610972087,0.4235330100357533,0.1493388489385446,0.1407265180107206,0.157579172341153,True,10000,42
3k_gaussian_blur,mean,0.1,Random -> O150,psnr_final,300,14.603221683502197,14.324939343134561,-0.2782823403676351,-0.35596610403060913,-0.20407281327247623,True,10000,42
3k_gaussian_blur,mean,0.1,Random -> O150,ssim_final,300,0.27713782315452895,0.4353899674117565,0.15825214425722758,0.14904084563876194,0.1669100070359806,True,10000,42
3k_gaussian_blur,mean,0.1,Random -> O300,ber,300,0.47600000000000003,0.45811111111111114,-0.01788888888888889,-0.026666666666666648,-0.009333333333333336,True,10000,42
3k_gaussian_blur,mean,0.1,Random -> O300,psnr_attack,300,14.622033150990804,14.27913933912913,-0.342893811861674,-0.4281569633483887,-0.26132189452648164,True,10000,42
3k_gaussian_blur,mean,0.1,Random -> O300,ssim_attack,300,0.2741941610972087,0.42983565643429755,0.1556414953370889,0.1470000927001238,0.163974638691172,True,10000,42
3k_gaussian_blur,mean,0.1,Random -> O300,psnr_final,300,14.603221683502197,14.275397760073345,-0.32782392342885336,-0.4136418280998866,-0.24680592981974284,True,10000,42
3k_gaussian_blur,mean,0.1,Random -> O300,ssim_final,300,0.27713782315452895,0.442712645928065,0.16557482277353605,0.15636137113285561,0.17436613649067778,True,10000,42
3k_gaussian_blur,mean,0.1,O150 -> O300,ber,300,0.46188888888888885,0.45811111111111114,-0.003777777777777779,-0.009444444444444446,0.0018888888888888874,False,10000,42
3k_gaussian_blur,mean,0.1,O150 -> O300,psnr_attack,300,14.328310198783875,14.27913933912913,-0.049170859654744464,-0.058865801095962525,-0.04021817747751872,True,10000,42
